date,store_nbr,transactions
2017-05-19,37,1605
2017-05-19,38,1395
2017-05-19,39,1276
2017-05-19,40,1262
2017-05-19,41,1070
2017-05-19,42,1161
2017-05-19,43,1195
2017-05-19,44,4601
2017-05-19,45,3930
2017-05-19,46,3226
2017-05-19,47,3692
2017-05-19,48,2587
2017-05-19,49,3214
2017-05-19,50,2381
2017-05-19,51,1782
2017-05-19,52,2067
2017-05-19,53,1069
2017-05-19,54,704
2017-05-20,1,1284
2017-05-20,2,2072
2017-05-20,3,3599
2017-05-20,4,1494
2017-05-20,5,1216
2017-05-20,6,2050
2017-05-20,7,1887
2017-05-20,8,2869
2017-05-20,9,2229
2017-05-20,10,1093
2017-05-20,11,2401
2017-05-20,12,1308
2017-05-20,13,1078
2017-05-20,14,1596
2017-05-20,15,1353
2017-05-20,16,741
2017-05-20,17,1677
2017-05-20,18,1315
2017-05-20,19,1691
2017-05-20,20,1935
2017-05-20,21,1178
2017-05-20,22,861
2017-05-20,23,1020
2017-05-20,24,2402
2017-05-20,25,1044
2017-05-20,26,589
2017-05-20,27,1840
2017-05-20,28,1444
2017-05-20,29,1296
2017-05-20,30,730
2017-05-20,31,1445
2017-05-20,32,769
2017-05-20,33,1001
2017-05-20,34,2298
2017-05-20,35,742
2017-05-20,36,1144
2017-05-20,37,1609
2017-05-20,38,2026
2017-05-20,39,1719
2017-05-20,40,1381
2017-05-20,41,1264
2017-05-20,42,1429
2017-05-20,43,1552
2017-05-20,44,5369
2017-05-20,45,4424
2017-05-20,46,4464
2017-05-20,47,4548
2017-05-20,48,3537
2017-05-20,49,3527
2017-05-20,50,3261
2017-05-20,51,1839
2017-05-20,52,2806
2017-05-20,53,1347
2017-05-20,54,916
2017-05-21,1,495
2017-05-21,2,2146
2017-05-21,3,3795
2017-05-21,4,1578
2017-05-21,5,1196
2017-05-21,6,2070
2017-05-21,7,1720
2017-05-21,8,2938
2017-05-21,9,2159
2017-05-21,10,912
2017-05-21,11,2339
2017-05-21,12,1297
2017-05-21,13,873
2017-05-21,14,1073
2017-05-21,15,1072
2017-05-21,16,930
2017-05-21,17,1790
2017-05-21,18,1291
2017-05-21,19,1194
2017-05-21,20,2206
2017-05-21,21,1535
2017-05-21,22,789
2017-05-21,23,988
2017-05-21,24,1887
2017-05-21,25,866
2017-05-21,26,661
2017-05-21,27,2079
2017-05-21,28,1749
2017-05-21,29,1569
2017-05-21,30,726
2017-05-21,31,1625
2017-05-21,32,681
2017-05-21,33,969
2017-05-21,34,2047
2017-05-21,35,801
2017-05-21,36,1152
2017-05-21,37,1268
2017-05-21,38,2015
2017-05-21,39,1735
2017-05-21,40,1397
2017-05-21,41,1541
2017-05-21,42,1481
2017-05-21,43,1747
2017-05-21,44,5659
2017-05-21,45,4725
2017-05-21,46,4702
2017-05-21,47,4529
2017-05-21,48,3707
2017-05-21,49,3551
2017-05-21,50,3114
2017-05-21,51,1971
2017-05-21,52,2827
2017-05-21,53,1322
2017-05-21,54,1137
2017-05-22,1,1758
2017-05-22,2,1802
2017-05-22,3,2877
2017-05-22,4,1266
2017-05-22,5,1174
2017-05-22,6,1624
2017-05-22,7,1838
2017-05-22,8,2580
2017-05-22,9,1874
2017-05-22,10,876
2017-05-22,11,2167
2017-05-22,12,1239
2017-05-22,13,882
2017-05-22,14,1407
2017-05-22,15,1570
2017-05-22,16,663
2017-05-22,17,1447
2017-05-22,18,1327
2017-05-22,19,1156
2017-05-22,20,1438
2017-05-22,21,957
2017-05-22,22,813
2017-05-22,23,962
2017-05-22,24,2087
2017-05-22,25,760
2017-05-22,26,498
2017-05-22,27,1517
2017-05-22,28,1105
2017-05-22,29,1102
2017-05-22,30,682
2017-05-22,31,1330
2017-05-22,32,622
2017-05-22,33,917
2017-05-22,34,1876
2017-05-22,35,669
2017-05-22,36,1047
2017-05-22,37,1470
2017-05-22,38,1366
2017-05-22,39,1294
2017-05-22,40,1557
2017-05-22,41,1096
2017-05-22,42,1038
2017-05-22,43,1380
2017-05-22,44,4101
2017-05-22,45,3466
2017-05-22,46,3086
2017-05-22,47,3614
2017-05-22,48,2502
2017-05-22,49,2785
2017-05-22,50,2230
2017-05-22,51,1494
2017-05-22,52,1934
2017-05-22,53,978
2017-05-22,54,749
2017-05-23,1,1701
2017-05-23,2,1701
2017-05-23,3,2638
2017-05-23,4,1247
2017-05-23,5,1168
2017-05-23,6,1632
2017-05-23,7,1786
2017-05-23,8,2498
2017-05-23,9,1919
2017-05-23,10,846
2017-05-23,11,2309
2017-05-23,12,1170
2017-05-23,13,847
2017-05-23,14,1295
2017-05-23,15,1460
2017-05-23,16,722
2017-05-23,17,1530
2017-05-23,18,1417
2017-05-23,19,1029
2017-05-23,20,1347
2017-05-23,21,1013
2017-05-23,22,686
2017-05-23,23,939
2017-05-23,24,2036
2017-05-23,25,713
2017-05-23,26,511
2017-05-23,27,1390
2017-05-23,28,1287
2017-05-23,29,1187
2017-05-23,30,820
2017-05-23,31,1337
2017-05-23,32,586
2017-05-23,33,944
2017-05-23,34,2005
2017-05-23,35,669
2017-05-23,36,1192
2017-05-23,37,1417
2017-05-23,38,1324
2017-05-23,39,1377
2017-05-23,40,1460
2017-05-23,41,997
2017-05-23,42,1061
2017-05-23,43,1370
2017-05-23,44,4094
2017-05-23,45,3242
2017-05-23,46,2863
2017-05-23,47,3241
2017-05-23,48,2340
2017-05-23,49,2497
2017-05-23,50,2334
2017-05-23,51,1469
2017-05-23,52,1676
2017-05-23,53,918
2017-05-23,54,751
2017-05-24,1,1844
2017-05-24,2,1776
2017-05-24,3,2965
2017-05-24,4,1322
2017-05-24,5,1177
2017-05-24,6,1601
2017-05-24,7,1920
2017-05-24,8,2656
2017-05-24,9,1695
2017-05-24,10,801
2017-05-24,11,2088
2017-05-24,12,1192
2017-05-24,13,828
2017-05-24,14,1265
2017-05-24,15,1387
2017-05-24,16,645
2017-05-24,17,1350
2017-05-24,18,1148
2017-05-24,19,1000
2017-05-24,20,1368
2017-05-24,21,873
2017-05-24,22,680
2017-05-24,23,1002
2017-05-24,24,2101
2017-05-24,25,781
2017-05-24,26,527
2017-05-24,27,1510
2017-05-24,28,1079
2017-05-24,29,1038
2017-05-24,30,694
2017-05-24,31,1100
2017-05-24,32,560
2017-05-24,33,826
2017-05-24,34,1824
2017-05-24,35,645
2017-05-24,36,1149
2017-05-24,37,1514
2017-05-24,38,1406
2017-05-24,39,1126
2017-05-24,40,1198
2017-05-24,41,994
2017-05-24,42,1087
2017-05-24,43,1217
2017-05-24,44,4200
2017-05-24,45,3417
2017-05-24,46,2903
2017-05-24,47,3430
2017-05-24,48,2474
2017-05-24,49,2803
2017-05-24,50,2242
2017-05-24,51,1686
2017-05-24,52,2005
2017-05-24,53,1087
2017-05-24,54,673
2017-05-25,1,1663
2017-05-25,2,1662
2017-05-25,3,2841
2017-05-25,4,1249
2017-05-25,5,1130
2017-05-25,6,1515
2017-05-25,7,1844
2017-05-25,8,2507
2017-05-25,9,1638
2017-05-25,10,744
2017-05-25,11,1927
2017-05-25,12,1105
2017-05-25,13,801
2017-05-25,14,1175
2017-05-25,15,1256
2017-05-25,16,635
2017-05-25,17,1237
2017-05-25,18,1100
2017-05-25,19,971
2017-05-25,20,1238
2017-05-25,21,889
2017-05-25,22,681
2017-05-25,23,961
2017-05-25,24,2024
2017-05-25,25,913
2017-05-25,26,391
2017-05-25,27,1309
2017-05-25,28,1055
2017-05-25,29,944
2017-05-25,30,664
2017-05-25,31,1288
2017-05-25,32,535
2017-05-25,33,743
2017-05-25,34,2196
2017-05-25,35,629
2017-05-25,36,992
2017-05-25,37,1467
2017-05-25,38,1270
2017-05-25,39,1282
2017-05-25,40,1175
2017-05-25,41,943
2017-05-25,42,1013
2017-05-25,43,1246
2017-05-25,44,3981
2017-05-25,45,3199
2017-05-25,46,2869
2017-05-25,47,3312
2017-05-25,48,2264
2017-05-25,49,2769
2017-05-25,50,2313
2017-05-25,51,1406
2017-05-25,52,1904
2017-05-25,53,926
2017-05-25,54,710
2017-05-26,1,580
2017-05-26,2,1850
2017-05-26,3,3543
2017-05-26,4,1423
2017-05-26,5,1223
2017-05-26,6,1982
2017-05-26,7,1758
2017-05-26,8,2514
2017-05-26,9,1925
2017-05-26,10,708
2017-05-26,11,2263
2017-05-26,12,1164
2017-05-26,13,859
2017-05-26,14,1141
2017-05-26,15,1245
2017-05-26,16,702
2017-05-26,17,1564
2017-05-26,18,1030
2017-05-26,19,1129
2017-05-26,20,1635
2017-05-26,21,1119
2017-05-26,22,758
2017-05-26,23,1063
2017-05-26,24,1973
2017-05-26,25,2204
2017-05-26,26,616
2017-05-26,27,1952
2017-05-26,28,1411
2017-05-26,29,1198
2017-05-26,30,665
2017-05-26,31,1392
2017-05-26,32,623
2017-05-26,33,819
2017-05-26,34,2346
2017-05-26,35,868
2017-05-26,36,1255
2017-05-26,37,1455
2017-05-26,38,1782
2017-05-26,39,1399
2017-05-26,40,1078
2017-05-26,41,1318
2017-05-26,42,1346
2017-05-26,43,1491
2017-05-26,44,5395
2017-05-26,45,4569
2017-05-26,46,4380
2017-05-26,47,4479
2017-05-26,48,3493
2017-05-26,49,3483
2017-05-26,50,3198
2017-05-26,51,1829
2017-05-26,52,3172
2017-05-26,53,1295
2017-05-26,54,793
2017-05-27,1,1116
2017-05-27,2,1875
2017-05-27,3,3187
2017-05-27,4,1422
2017-05-27,5,1244
2017-05-27,6,1946
2017-05-27,7,1678
2017-05-27,8,2417
2017-05-27,9,1943
2017-05-27,10,932
2017-05-27,11,2416
2017-05-27,12,1263
2017-05-27,13,1109
2017-05-27,14,1575
2017-05-27,15,1281
2017-05-27,16,793
2017-05-27,17,1492
2017-05-27,18,1053
2017-05-27,19,1593
2017-05-27,20,1571
2017-05-27,21,1217
2017-05-27,22,847
2017-05-27,23,1011
2017-05-27,24,1908
2017-05-27,25,1843
2017-05-27,26,538
2017-05-27,27,1788
2017-05-27,28,1403
2017-05-27,29,1155
2017-05-27,30,662
2017-05-27,31,1395
2017-05-27,32,671
2017-05-27,33,999
2017-05-27,34,2051
2017-05-27,35,893
2017-05-27,36,1261
2017-05-27,37,1446
2017-05-27,38,1956
2017-05-27,39,1665
2017-05-27,40,1415
2017-05-27,41,1362
2017-05-27,42,1350
2017-05-27,43,1500
2017-05-27,44,5034
2017-05-27,45,4333
2017-05-27,46,4081
2017-05-27,47,4080
2017-05-27,48,3423
2017-05-27,49,3197
2017-05-27,50,3254
2017-05-27,51,1623
2017-05-27,52,2958
2017-05-27,53,1318
2017-05-27,54,966
2017-05-28,1,512
2017-05-28,2,1884
2017-05-28,3,3442
2017-05-28,4,1563
2017-05-28,5,1112
2017-05-28,6,2044
2017-05-28,7,1569
2017-05-28,8,2500
2017-05-28,9,1945
2017-05-28,10,789
2017-05-28,11,2497
2017-05-28,12,1314
2017-05-28,13,890
2017-05-28,14,913
2017-05-28,15,1029
2017-05-28,16,760
2017-05-28,17,1627
2017-05-28,18,1234
2017-05-28,19,1090
2017-05-28,20,2037
2017-05-28,21,1424
2017-05-28,22,776
2017-05-28,23,855
2017-05-28,24,1616
2017-05-28,25,1020
2017-05-28,26,526
2017-05-28,27,1909
2017-05-28,28,1616
2017-05-28,29,1386
2017-05-28,30,679
2017-05-28,31,1765
2017-05-28,32,617
2017-05-28,33,990
2017-05-28,34,2034
2017-05-28,35,767
2017-05-28,36,1136
2017-05-28,37,1064
2017-05-28,38,1799
2017-05-28,39,1486
2017-05-28,40,1224
2017-05-28,41,1410
2017-05-28,42,1280
2017-05-28,43,1719
2017-05-28,44,4784
2017-05-28,45,4382
2017-05-28,46,4439
2017-05-28,47,4303
2017-05-28,48,3724
2017-05-28,49,3408
2017-05-28,50,3152
2017-05-28,51,1650
2017-05-28,52,2807
2017-05-28,53,1358
2017-05-28,54,1114
2017-05-29,1,1750
2017-05-29,2,1793
2017-05-29,3,2896
2017-05-29,4,1242
2017-05-29,5,1296
2017-05-29,6,1603
2017-05-29,7,1813
2017-05-29,8,2503
2017-05-29,9,1859
2017-05-29,10,845
2017-05-29,11,2126
2017-05-29,12,1170
2017-05-29,13,843
2017-05-29,14,1356
2017-05-29,15,1479
2017-05-29,16,781
2017-05-29,17,1424
2017-05-29,18,1298
2017-05-29,19,1183
2017-05-29,20,1325
2017-05-29,21,1004
2017-05-29,22,819
2017-05-29,23,906
2017-05-29,24,2070
2017-05-29,25,740
2017-05-29,26,511
2017-05-29,27,1550
2017-05-29,28,1111
2017-05-29,29,1074
2017-05-29,30,735
2017-05-29,31,1349
2017-05-29,32,553
2017-05-29,33,899
2017-05-29,34,2089
2017-05-29,35,657
2017-05-29,36,1047
2017-05-29,37,1427
2017-05-29,38,1323
2017-05-29,39,1255
2017-05-29,40,1453
2017-05-29,41,1143
2017-05-29,42,1053
2017-05-29,43,1513
2017-05-29,44,3927
2017-05-29,45,3380
2017-05-29,46,2896
2017-05-29,47,3288
2017-05-29,48,2381
2017-05-29,49,2831
2017-05-29,50,2368
2017-05-29,51,1562
2017-05-29,52,1808
2017-05-29,53,963
2017-05-29,54,851
2017-05-30,1,1770
2017-05-30,2,1724
2017-05-30,3,2726
2017-05-30,4,1179
2017-05-30,5,1296
2017-05-30,6,1631
2017-05-30,7,1779
2017-05-30,8,2501
2017-05-30,9,1875
2017-05-30,10,907
2017-05-30,11,2169
2017-05-30,12,1176
2017-05-30,13,834
2017-05-30,14,1261
2017-05-30,15,1455
2017-05-30,16,756
2017-05-30,17,1450
2017-05-30,18,1387
2017-05-30,19,1219
2017-05-30,20,1395
2017-05-30,21,996
2017-05-30,22,755
2017-05-30,23,954
2017-05-30,24,2087
2017-05-30,25,703
2017-05-30,26,506
2017-05-30,27,1489
2017-05-30,28,1374
2017-05-30,29,1281
2017-05-30,30,841
2017-05-30,31,1410
2017-05-30,32,624
2017-05-30,33,1048
2017-05-30,34,1983
2017-05-30,35,723
2017-05-30,36,1284
2017-05-30,37,1375
2017-05-30,38,1292
2017-05-30,39,1374
2017-05-30,40,1447
2017-05-30,41,1013
2017-05-30,42,1040
2017-05-30,43,1601
2017-05-30,44,3904
2017-05-30,45,3233
2017-05-30,46,2769
2017-05-30,47,3334
2017-05-30,48,2274
2017-05-30,49,2583
2017-05-30,50,2211
2017-05-30,51,1490
2017-05-30,52,1849
2017-05-30,53,1039
2017-05-30,54,834
2017-05-31,1,1878
2017-05-31,2,2000
2017-05-31,3,3201
2017-05-31,4,1385
2017-05-31,5,1430
2017-05-31,6,1781
2017-05-31,7,2024
2017-05-31,8,2881
2017-05-31,9,1998
2017-05-31,10,977
2017-05-31,11,2388
2017-05-31,12,1245
2017-05-31,13,926
2017-05-31,14,1384
2017-05-31,15,1442
2017-05-31,16,877
2017-05-31,17,1538
2017-05-31,18,1286
2017-05-31,19,1248
2017-05-31,20,1618
2017-05-31,21,1134
2017-05-31,22,862
2017-05-31,23,1040
2017-05-31,24,2341
2017-05-31,25,882
2017-05-31,26,725
2017-05-31,27,1745
2017-05-31,28,1514
2017-05-31,29,1324
2017-05-31,30,943
2017-05-31,31,1446
2017-05-31,32,779
2017-05-31,33,933
2017-05-31,34,2256
2017-05-31,35,710
2017-05-31,36,1277
2017-05-31,37,1481
2017-05-31,38,1533
2017-05-31,39,1311
2017-05-31,40,1471
2017-05-31,41,1224
2017-05-31,42,1079
2017-05-31,43,1892
2017-05-31,44,4409
2017-05-31,45,3538
2017-05-31,46,3242
2017-05-31,47,3868
2017-05-31,48,2598
2017-05-31,49,3053
2017-05-31,50,2547
2017-05-31,51,1814
2017-05-31,52,2353
2017-05-31,53,1421
2017-05-31,54,1113
2017-06-01,1,1815
2017-06-01,2,1802
2017-06-01,3,3066
2017-06-01,4,1289
2017-06-01,5,1266
2017-06-01,6,1648
2017-06-01,7,1896
2017-06-01,8,2754
2017-06-01,9,2337
2017-06-01,10,881
2017-06-01,11,2816
2017-06-01,12,1229
2017-06-01,13,950
2017-06-01,14,1393
2017-06-01,15,1434
2017-06-01,16,790
2017-06-01,17,1446
2017-06-01,18,1412
2017-06-01,19,1175
2017-06-01,20,1684
2017-06-01,21,1103
2017-06-01,22,872
2017-06-01,23,1006
2017-06-01,24,2103
2017-06-01,25,727
2017-06-01,26,611
2017-06-01,27,1443
2017-06-01,28,1389
2017-06-01,29,1155
2017-06-01,30,729
2017-06-01,31,1520
2017-06-01,32,699
2017-06-01,33,913
2017-06-01,34,2051
2017-06-01,35,736
2017-06-01,36,1143
2017-06-01,37,1511
2017-06-01,38,1567
2017-06-01,39,1346
2017-06-01,40,1459
2017-06-01,41,1117
2017-06-01,42,1184
2017-06-01,43,1412
2017-06-01,44,4165
2017-06-01,45,3717
2017-06-01,46,3400
2017-06-01,47,3766
2017-06-01,48,2908
2017-06-01,49,3107
2017-06-01,50,2778
2017-06-01,51,1461
2017-06-01,52,2109
2017-06-01,53,1090
2017-06-01,54,791
2017-06-02,1,1925
2017-06-02,2,1921
2017-06-02,3,3484
2017-06-02,4,1442
2017-06-02,5,1356
2017-06-02,6,1823
2017-06-02,7,2057
2017-06-02,8,3044
2017-06-02,9,1995
2017-06-02,10,845
2017-06-02,11,2416
2017-06-02,12,1191
2017-06-02,13,835
2017-06-02,14,1260
2017-06-02,15,1419
2017-06-02,16,708
2017-06-02,17,1379
2017-06-02,18,1238
2017-06-02,19,1049
2017-06-02,20,1491
2017-06-02,21,1025
2017-06-02,22,810
2017-06-02,23,1100
2017-06-02,24,2274
2017-06-02,25,873
2017-06-02,26,659
2017-06-02,27,1506
2017-06-02,28,1100
2017-06-02,29,1053
2017-06-02,30,691
2017-06-02,31,1263
2017-06-02,32,589
2017-06-02,33,935
2017-06-02,34,2309
2017-06-02,35,720
2017-06-02,36,1039
2017-06-02,37,1690
2017-06-02,38,1587
2017-06-02,39,1442
2017-06-02,40,1312
2017-06-02,41,1074
2017-06-02,42,1261
2017-06-02,43,1373
2017-06-02,44,4630
2017-06-02,45,4234
2017-06-02,46,3370
2017-06-02,47,4102
2017-06-02,48,2876
2017-06-02,49,3487
2017-06-02,50,2652
2017-06-02,51,1869
2017-06-02,52,2068
2017-06-02,53,1167
2017-06-02,54,822
2017-06-03,1,1420
2017-06-03,2,2160
2017-06-03,3,3819
2017-06-03,4,1586
2017-06-03,5,1326
2017-06-03,6,2177
2017-06-03,7,1994
2017-06-03,8,2983
2017-06-03,9,2436
2017-06-03,10,1094
2017-06-03,11,3032
2017-06-03,12,1347
2017-06-03,13,1262
2017-06-03,14,1655
2017-06-03,15,1354
2017-06-03,16,1013
2017-06-03,17,1753
2017-06-03,18,1360
2017-06-03,19,1771
2017-06-03,20,2011
2017-06-03,21,1327
2017-06-03,22,857
2017-06-03,23,1067
2017-06-03,24,2438
2017-06-03,25,1049
2017-06-03,26,671
2017-06-03,27,1835
2017-06-03,28,1546
2017-06-03,29,1388
2017-06-03,30,730
2017-06-03,31,1578
2017-06-03,32,706
2017-06-03,33,1062
2017-06-03,34,2387
2017-06-03,35,765
2017-06-03,36,1185
2017-06-03,37,1567
2017-06-03,38,2147
2017-06-03,39,1831
2017-06-03,40,1446
2017-06-03,41,1331
2017-06-03,42,1484
2017-06-03,43,1573
2017-06-03,44,5307
2017-06-03,45,4747
2017-06-03,46,4744
2017-06-03,47,4771
2017-06-03,48,4037
2017-06-03,49,3418
2017-06-03,50,3427
2017-06-03,51,1937
2017-06-03,52,2686
2017-06-03,53,1405
2017-06-03,54,963
2017-06-04,1,525
2017-06-04,2,2054
2017-06-04,3,3956
2017-06-04,4,1686
2017-06-04,5,1304
2017-06-04,6,2231
2017-06-04,7,1754
2017-06-04,8,2917
2017-06-04,9,2412
2017-06-04,10,1003
2017-06-04,11,2977
2017-06-04,12,1386
2017-06-04,13,981
2017-06-04,14,1070
2017-06-04,15,1209
2017-06-04,16,921
2017-06-04,17,1874
2017-06-04,18,1422
2017-06-04,19,1161
2017-06-04,20,2354
2017-06-04,21,1648
2017-06-04,22,955
2017-06-04,23,1012
2017-06-04,24,1935
2017-06-04,25,858
2017-06-04,26,662
2017-06-04,27,1968
2017-06-04,28,1870
2017-06-04,29,1595
2017-06-04,30,693
2017-06-04,31,1816
2017-06-04,32,695
2017-06-04,33,1130
2017-06-04,34,2208
2017-06-04,35,791
2017-06-04,36,1250
2017-06-04,37,1298
2017-06-04,38,2139
2017-06-04,39,1749
2017-06-04,40,1378
2017-06-04,41,1654
2017-06-04,42,1534
2017-06-04,43,1814
2017-06-04,44,5260
2017-06-04,45,5074
2017-06-04,46,5025
2017-06-04,47,4924
2017-06-04,48,4389
2017-06-04,49,3872
2017-06-04,50,3337
2017-06-04,51,1961
2017-06-04,52,2783
2017-06-04,53,1393
2017-06-04,54,1105
2017-06-05,1,1883
2017-06-05,2,1899
2017-06-05,3,3161
2017-06-05,4,1284
2017-06-05,5,1319
2017-06-05,6,1689
2017-06-05,7,1942
2017-06-05,8,2777
2017-06-05,9,2189
2017-06-05,10,927
2017-06-05,11,2440
2017-06-05,12,1277
2017-06-05,13,907
2017-06-05,14,1504
2017-06-05,15,1452
2017-06-05,16,747
2017-06-05,17,1500
2017-06-05,18,1378
2017-06-05,19,1156
2017-06-05,20,1605
2017-06-05,21,1019
2017-06-05,22,808
2017-06-05,23,959
2017-06-05,24,2152
2017-06-05,25,717
2017-06-05,26,521
2017-06-05,27,1551
2017-06-05,28,1167
2017-06-05,29,1140
2017-06-05,30,788
2017-06-05,31,1375
2017-06-05,32,591
2017-06-05,33,952
2017-06-05,34,2068
2017-06-05,35,652
2017-06-05,36,1066
2017-06-05,37,1515
2017-06-05,38,1389
2017-06-05,39,1305
2017-06-05,40,1547
2017-06-05,41,1163
2017-06-05,42,1142
2017-06-05,43,1442
2017-06-05,44,4094
2017-06-05,45,3745
2017-06-05,46,3299
2017-06-05,47,3661
2017-06-05,48,2691
2017-06-05,49,2960
2017-06-05,50,2418
2017-06-05,51,1499
2017-06-05,52,1885
2017-06-05,53,1003
2017-06-05,54,953
2017-06-06,1,1816
2017-06-06,2,1763
2017-06-06,3,2808
2017-06-06,4,1256
2017-06-06,5,1202
2017-06-06,6,1638
2017-06-06,7,1792
2017-06-06,8,2521
2017-06-06,9,2039
2017-06-06,10,909
2017-06-06,11,2394
2017-06-06,12,1152
2017-06-06,13,878
2017-06-06,14,1351
2017-06-06,15,1464
2017-06-06,16,690
2017-06-06,17,1544
2017-06-06,18,1498
2017-06-06,19,1068
2017-06-06,20,1421
2017-06-06,21,1119
2017-06-06,22,833
2017-06-06,23,962
2017-06-06,24,2138
2017-06-06,25,656
2017-06-06,26,496
2017-06-06,27,1456
2017-06-06,28,1354
2017-06-06,29,1219
2017-06-06,30,775
2017-06-06,31,1358
2017-06-06,32,599
2017-06-06,33,1035
2017-06-06,34,2068
2017-06-06,35,739
2017-06-06,36,1231
2017-06-06,37,1501
2017-06-06,38,1313
2017-06-06,39,1498
2017-06-06,40,1519
2017-06-06,41,995
2017-06-06,42,1028
2017-06-06,43,1399
2017-06-06,44,3885
2017-06-06,45,3368
2017-06-06,46,2973
2017-06-06,47,3456
2017-06-06,48,2537
2017-06-06,49,2641
2017-06-06,50,2298
2017-06-06,51,1385
2017-06-06,52,1696
2017-06-06,53,968
2017-06-06,54,745
2017-06-07,1,1889
2017-06-07,2,1880
2017-06-07,3,3103
2017-06-07,4,1344
2017-06-07,5,1267
2017-06-07,6,1651
2017-06-07,7,2048
2017-06-07,8,2806
2017-06-07,9,1869
2017-06-07,10,904
2017-06-07,11,2298
2017-06-07,12,1176
2017-06-07,13,834
2017-06-07,14,1266
2017-06-07,15,1495
2017-06-07,16,659
2017-06-07,17,1438
2017-06-07,18,1311
2017-06-07,19,1111
2017-06-07,20,1378
2017-06-07,21,976
2017-06-07,22,803
2017-06-07,23,959
2017-06-07,24,2175
2017-06-07,25,761
2017-06-07,26,512
2017-06-07,27,1584
2017-06-07,28,1126
2017-06-07,29,1084
2017-06-07,30,695
2017-06-07,31,1225
2017-06-07,32,561
2017-06-07,33,846
2017-06-07,34,1837
2017-06-07,35,605
2017-06-07,36,1000
2017-06-07,37,1576
2017-06-07,38,1402
2017-06-07,39,1280
2017-06-07,40,1326
2017-06-07,41,1156
2017-06-07,42,1144
2017-06-07,43,1297
2017-06-07,44,4516
2017-06-07,45,3608
2017-06-07,46,3151
2017-06-07,47,3692
2017-06-07,48,2548
2017-06-07,49,2979
2017-06-07,50,2292
2017-06-07,51,1629
2017-06-07,52,1894
